Section,Field / Where,Georgian (current),English (meaning),Correction
11. ContactPage (global),Global description,საკონტაქტო გვერდის კონტენტის მართვა.,Manage contact page content.,
11. ContactPage (global),address group label,მისამართი,Address,
11. ContactPage (global),address.mapLatitude description,Google Maps განედი,Google Maps latitude,
11. ContactPage (global),address.mapLongitude description,Google Maps გრძედი,Google Maps longitude,
11. ContactPage (global),phone group label,ტელეფონი,Phone,
11. ContactPage (global),phone.display description,საჩვენებელი ფორმატი (მაგ: +995 (0422) 227171),Display format (e.g. +995 (0422) 227171),
11. ContactPage (global),email group label,ელფოსტა,Email,
11. ContactPage (global),workingHours group label,სამუშაო საათები,Working hours,
11. ContactPage (global),workingHours.weekdays description,მაგ: ორშაბათი - პარასკევი: 09:00-18:00,e.g. Monday - Friday: 09:00-18:00,
11. ContactPage (global),workingHours.weekends description,მაგ: შაბათი - კვირა: 09:30-17:00,e.g. Saturday - Sunday: 09:30-17:00,
11. ContactPage (global),contactFormTitle description,საკონტაქტო ფორმის სათაური,Contact form title,
12. Footer (global),Label,ფუტერი,Footer,
12. Footer (global),Group,საიტის ელემენტები,Site elements,
12. Footer (global),Global description,საიტის ქვედა ნაწილის (ფუტერის) კონტენტის მართვა.,Manage site footer content.,
12. Footer (global),description (field) description,კლინიკის მოკლე აღწერა ფუტერში,Brief clinic description in footer,
12. Footer (global),quickLinks label,სწრაფი ბმულები,Quick links,
12. Footer (global),quickLinks.href description,ბმული (მაგ: /services),Link (e.g. /services),
12. Footer (global),socialLinks label,სოციალური ქსელები,Social networks,
12. Footer (global),copyright description,საავტორო უფლებების ტექსტი,Copyright text,
12. Footer (global),whatsappNumber description,WhatsApp ნომერი (მაგ: 995422227171),WhatsApp number (e.g. 995422227171),
13. Navigation (global),Label,ნავიგაცია,Navigation,
13. Navigation (global),Group,საიტის ელემენტები,Site elements,
13. Navigation (global),Global description,საიტის ნავიგაციის მენიუს მართვა.,Manage site navigation menu.,
13. Navigation (global),mainMenu label,მთავარი მენიუ,Main menu,
13. Navigation (global),mainMenu description,ზედა ნავიგაციის ბმულები,Top navigation links,
13. Navigation (global),mainMenu.label description,მენიუს ელემენტის სახელი,Menu-item name,
13. Navigation (global),mainMenu.href description,"ბმული (მაგ: /services, /doctors)","Link (e.g. /services, /doctors)",
13. Navigation (global),mainMenu.isHighlighted description,"გამოყოფილი ღილაკის სტილით (მაგ: ""ჯავშანი"")","Highlighted button style (e.g. ""Book"")",
13. Navigation (global),ctaButton label,CTA ღილაკი,CTA button,
13. Navigation (global),ctaButton description,ნავიგაციის მარჯვენა მხარეს ღილაკი,Button on the right side of navigation,
14. BookingPage (global),Label,ჯავშნის გვერდი,Booking page,
14. BookingPage (global),Group,გვერდები,Pages,
14. BookingPage (global),Global description,ონლაინ ჯავშნის გვერდის კონტენტის მართვა.,Manage online booking page content.,
14. BookingPage (global),steps label,ნაბიჯების ტექსტები,Step texts,
14. BookingPage (global),form label,ფორმის ტექსტები,Form texts,
15. SiteSettings (global),Label,საიტის პარამეტრები,Site settings,
15. SiteSettings (global),Global description,"მთავარ გვერდზე ნაჩვენები სტატისტიკის რიცხვები. საკონტაქტო მონაცემები არის ""საკონტაქტო გვერდი"" გლობალში (გვერდები → საკონტაქტო გვერდი).","Statistics numbers shown on the home page. Contact data lives in the ""Contact page"" global (Pages → Contact page).",
15. SiteSettings (global),stats group label,სტატისტიკა,Statistics,
15. SiteSettings (global),stats description,მთავარ გვერდზე ნაჩვენები რიცხვები — შეგიძლია ცვალო,Numbers shown on the home page — you can change them,
15. SiteSettings (global),stats.patients description,პაციენტების რაოდენობა (მაგ: 15000),Number of patients (e.g. 15000),
15. SiteSettings (global),stats.doctors description,ექიმების რაოდენობა (მაგ: 54),Number of doctors (e.g. 54),
15. SiteSettings (global),stats.operations description,ოპერაციების რაოდენობა (მაგ: 5000),Number of operations (e.g. 5000),
15. SiteSettings (global),stats.experience description,წლების გამოცდილება (მაგ: 9),Years of experience (e.g. 9),
15. SiteSettings (global),lastDoctraSync description,ბოლო Doctra სინქრონიზაციის დრო — ავტომატურად განახლდება იმპორტის შემდეგ,Last Doctra sync time — auto-updated after import,
16. Locale picker,Locale label ge,ქართული ვერსია (საიტი /ge),Georgian version (site /ge),
16. Locale picker,Locale label en,English version (site /en),English version (site /en) (already English),
16. Locale picker,Locale label ru,რუსული ვერსია (საიტი /ru),Russian version (site /ru),
17. SEO fields,Group label,SEO,SEO,
17. SEO fields,Group description,საძიებო სისტემების ოპტიმიზაცია,Search-engine optimization,
17. SEO fields,metaTitle description,დატოვეთ ცარიელი ავტომატური გენერაციისთვის. მაქს. 60 სიმბოლო.,Leave empty for auto-generation. Max 60 chars.,
17. SEO fields,metaDescription description,დატოვეთ ცარიელი excerpt-ის გამოსაყენებლად. მაქს. 160 სიმბოლო.,Leave empty to use the excerpt. Max 160 chars.,
17. SEO fields,ogImage description,სოციალური ქსელებისთვის სურათი. დატოვეთ ცარიელი featured image-ის გამოსაყენებლად.,Image for social networks. Leave empty to use featured image.,
17. SEO fields,noIndex description,ჩართვით ეს გვერდი არ მოხვდება Google-ის ძიებაში.,"If checked, this page won't appear in Google search.",
18. Dashboard,Welcome banner heading,მოგესალმებით 👋,Welcome 👋,
18. Dashboard,Welcome banner subtitle,ხოზრევანიძის კლინიკის ადმინ-პანელი,Khozrevanidze Clinic admin panel,
18. Dashboard,Section header,კონტენტი,Content,
18. Dashboard,Section header,სწრაფი მოქმედებები,Quick actions,
18. Dashboard,Stat card,ექიმები,Doctors,
18. Dashboard,Stat card,სერვისები,Services,
18. Dashboard,Stat card,სიახლეები,News,
18. Dashboard,Stat card,გვერდები,Pages,
18. Dashboard,Stat card,შეფასებები,Reviews,
18. Dashboard,Stat card,ჩექაფები,Checkups,
18. Dashboard,Quick action,სიახლის დამატება,Add news,
18. Dashboard,Quick action,გვერდის შექმნა,Create page,
18. Dashboard,Quick action,ექიმის დამატება,Add doctor,
18. Dashboard,View site button,საიტის ნახვა,View site,
19. DoctraSyncCard,Card heading,Doctra სინქრონიზაცია,Doctra synchronization,
19. DoctraSyncCard,Last-sync prefix,ბოლო სინქრონი:,Last sync:,
19. DoctraSyncCard,Never synced,ჯერ არ არის სინქრონიზებული,Not synced yet,
19. DoctraSyncCard,Just now,ახლახანს,Just now,
19. DoctraSyncCard,Minutes ago suffix,წუთის წინ,minute(s) ago,
19. DoctraSyncCard,Hours ago suffix,საათის წინ,hour(s) ago,
19. DoctraSyncCard,Days ago suffix,დღის წინ,day(s) ago,
19. DoctraSyncCard,Description line 1,"⤓ რას აკეთებს: ჩამოვა Doctra-დან ექიმების და სერვისების სია, ჩაიწერება Payload-ში. ახალი ექიმი დაიწერება ქართულად + ინგლისურად + რუსულად (RU = placeholder).","⤓ What it does: pulls list of doctors and services from Doctra, writes to Payload. New doctor is written in Georgian + English + Russian (RU = placeholder).",
19. DoctraSyncCard,Description line 2,✋ რას არ ცვლის: უკვე რედაქტირებული ექიმის სახელი / სპეციალობა / ბიოგრაფია / ფოტო. შენი ცვლილებები დაცულია.,✋ What it doesn't change: already-edited doctor name / specialty / biography / photo. Your edits are preserved.,
19. DoctraSyncCard,Description line 3,⏱ დრო: ~5–15 წამი (Doctra-ს სიჩქარის მიხედვით).,⏱ Time: ~5–15 seconds (depending on Doctra's speed).,
19. DoctraSyncCard,Action button,სინქრონიზაცია ახლა,Sync now,
19. DoctraSyncCard,Running step 1,ვითხოვ Doctra-ს განყოფილებებს...,Requesting Doctra departments...,
19. DoctraSyncCard,Running step 2,ვიღებ ექიმებს...,Fetching doctors...,
19. DoctraSyncCard,Running step 3,ვწერ Payload-ში...,Writing to Payload...,
19. DoctraSyncCard,Success heading,✓ სინქრონიზაცია დასრულდა,✓ Sync completed,
19. DoctraSyncCard,Hide errors,დამალე შეცდომები,Hide errors,
19. DoctraSyncCard,Show errors,იხილე X შეცდომა,View X error(s),
19. DoctraSyncCard,Close button,დახურვა,Close,
19. DoctraSyncCard,Already current,ბაზა უკვე განახლებული იყო,Database was already up to date,
19. DoctraSyncCard,Error heading,✗ სინქრონიზაცია ვერ მოხერხდა,✗ Sync failed,
19. DoctraSyncCard,Retry button,თავიდან ცდა,Try again,
19. DoctraSyncCard,Generic error,ქსელის პრობლემა,Network problem,
20. NeedsAttentionCard,Section header,საჭიროებს ყურადღებას,Needs attention,
20. NeedsAttentionCard,All-clear summary,✓ ყველაფერი წესრიგშია — შესასწორებელი არაფერია,✓ Everything is in order — nothing to fix,
20. NeedsAttentionCard,Has-issues summary,⚠ X ჯამური საქმე — დააწექი კარტას სრული სიის სანახავად,⚠ X total issues — click a card to see the full list,
20. NeedsAttentionCard,Tile 1 label,ფოტო აკლია,Photo missing,
20. NeedsAttentionCard,Tile 2 label,სპეციალობა შესავსებია,Specialty needs filling,
20. NeedsAttentionCard,Tile 3 label,დამალული ექიმები,Hidden doctors,
20. NeedsAttentionCard,Tile 4 label,რუსული თარგმანი აკლია,Russian translation missing,
20. NeedsAttentionCard,Tile clear status,✓ წესრიგშია — შესასწორებელი არაა,✓ In order — nothing to fix,
20. NeedsAttentionCard,Tile issue status,X-მა საქმემ ყურადღება სჭირდება → იხილე სია,X issues need attention → see the list,
21. DoctorListFilters,Preset chip,ყველა ექიმი,All doctors,
21. DoctorListFilters,Preset chip,ფოტო აკლია,Photo missing,
21. DoctorListFilters,Preset chip,სპეციალობა შესავსებია,Specialty needs filling,
21. DoctorListFilters,Preset chip,დამალული,Hidden,
21. DoctorListFilters,Preset explainer 2,ექიმები რომელთაც ფოტო ჯერ არ აქვთ ატვირთული,Doctors who haven't uploaded a photo yet,
21. DoctorListFilters,Preset explainer 3,"ექიმები რომელთა სპეციალობა Doctra-დან ცარიელია (""—"" placeholder-ით)","Doctors whose specialty is empty from Doctra (with ""—"" placeholder)",
21. DoctorListFilters,Preset explainer 4,"ექიმები რომელთა inactive checkbox მონიშნულია — საიტზე არ ჩანან, ჩაწერა გათიშულია","Doctors with inactive checkbox checked — not visible on site, booking disabled",
21. DoctorListFilters,Active filter banner,🔍 აქტიური ფილტრი:,🔍 Active filter:,
21. DoctorListFilters,Clear button,↺ ფილტრის გასუფთავება,↺ Clear filter,
22. GoogleReviewsSyncCard,Card heading,Google შეფასებების სინქი,Google reviews sync,
22. GoogleReviewsSyncCard,Description line 1,⤓ რას აკეთებს: Google Places API-დან ჩამოვა კლინიკის შესახებ დაწერილი შეფასებები (5 ყველაზე რელევანტური). ჩაიწერება Payload-ში.,⤓ What it does: Pulls reviews about the clinic from Google Places API (5 most-relevant). Writes to Payload.,
22. GoogleReviewsSyncCard,Description line 2,"🔒 გამოუქვეყნებელია: ახალი შეფასებები ჯერ არ გამოჩნდება საიტზე — შენ უნდა გადახედო და ""გამოქვეყნებული"" ჩექბოქსი მონიშნო.","🔒 Unpublished: new reviews won't appear on the site yet — you must review and check the ""published"" checkbox.",
22. GoogleReviewsSyncCard,Description line 3,⚙️ დაყენება: საჭიროა Vercel env ცვლადები — GOOGLE_PLACES_API_KEY + GOOGLE_PLACE_ID. ინსტრუქცია: docs/HANDOVER.md.,⚙️ Setup: requires Vercel env vars — GOOGLE_PLACES_API_KEY + GOOGLE_PLACE_ID. Instructions: docs/HANDOVER.md.,
22. GoogleReviewsSyncCard,Sync button,სინქი ახლა,Sync now,
22. GoogleReviewsSyncCard,Running message,Google-დან შეფასებების მოპოვება…,Fetching reviews from Google…,
22. GoogleReviewsSyncCard,Running ETA,~5 წამი,~5 seconds,
22. GoogleReviewsSyncCard,Success heading,✓ Google შეფასებების სინქი დასრულდა,✓ Google reviews sync completed,
22. GoogleReviewsSyncCard,Stat label,მოპოვებული,Fetched,
22. GoogleReviewsSyncCard,Stat label,ახალი,New,
22. GoogleReviewsSyncCard,Stat label,განახლებული,Updated,
22. GoogleReviewsSyncCard,Stat label,გამოტოვებული,Skipped,
22. GoogleReviewsSyncCard,Post-success hint,"⚠ ახალი შეფასებები გამოუქვეყნებელია. გადით შეფასებების სია და მონიშნე ""გამოქვეყნებული"" იმათ ვინც გნებავთ ჩვენება.","⚠ New reviews are unpublished. Go to the reviews list and check ""published"" for the ones you want shown.",
22. GoogleReviewsSyncCard,Hint link text,შეფასებების სია,Reviews list,
22. GoogleReviewsSyncCard,Close button,დახურვა,Close,
22. GoogleReviewsSyncCard,Error heading,✗ Google შეფასებების სინქი ვერ მოხერხდა,✗ Google reviews sync failed,
22. GoogleReviewsSyncCard,Error hint,შეამოწმე Vercel-ის env ცვლადები: GOOGLE_PLACES_API_KEY + GOOGLE_PLACE_ID. დაყენების ინსტრუქცია: docs/HANDOVER.md → Google Reviews setup.,Check Vercel env vars: GOOGLE_PLACES_API_KEY + GOOGLE_PLACE_ID. Setup instructions: docs/HANDOVER.md → Google Reviews setup.,
22. GoogleReviewsSyncCard,Retry button,თავიდან ცდა,Try again,
22. GoogleReviewsSyncCard,Generic error,ქსელის პრობლემა,Network problem,
22. GoogleReviewsSyncCard,Empty-fetch hint,არცერთი შეფასება არ წამოვიდა — შეამოწმე GOOGLE_PLACES_API_KEY და GOOGLE_PLACE_ID env ცვლადები.,No reviews came in — check GOOGLE_PLACES_API_KEY and GOOGLE_PLACE_ID env vars.,
23. LocaleHintBanner,Heading prefix,ამჟამად რედაქტირებთ:,Currently editing:,
23. LocaleHintBanner,Body,"ცარიელი ველი ნიშნავს, რომ ეს ჩანაწერი ამ ენაზე ჯერ არ ითარგმნა. სხვა ენაში გადასასვლელად — ზედა მარჯვენა ""Locale"" გადამრთველი.","An empty field means this record hasn't been translated to this language yet. To switch to another language — use the top-right ""Locale"" switcher.",
24. AfterNavLinks,Dashboard link,🏠 მთავარი (Dashboard),🏠 Home (Dashboard),
24. AfterNavLinks,Site link,🌐 საიტის ნახვა,🌐 View site,
25. Login page,Login heading,ხოზრევანიძის კლინიკა,Khozrevanidze Clinic,
25. Login page,Login subtitle,ადმინისტრაციული პანელი,Administrative panel,
26. Doctor row / view-live,Disabled tooltip (list cell),ექიმი დამალულია — საიტზე ვერ ნახავთ,Doctor is hidden — won't see on site,
26. Doctor row / view-live,Enabled tooltip (list cell),საიტზე ნახვა,View on site,
26. Doctor row / view-live,Enabled tooltip (edit form button),ექიმის გვერდი ახალ ფანჯარაში,Doctor page in new window,
26. Doctor row / view-live,Button text (edit form),საიტზე ნახვა,View on site,
